Unnamed: 0,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14
V1,0,38,46,48,48,36,42,36,38,38,30,27,37,34
V2,38,0,38,44,50,33,38,38,38,39,30,29,45,36
V3,46,38,0,58,42,38,44,36,42,35,28,20,32,32
V4,48,44,58,0,59,59,76,51,51,59,50,32,52,39
V5,48,50,42,59,0,56,57,44,49,53,38,37,58,39
V6,36,33,38,59,56,0,53,42,49,53,36,37,46,41
V7,42,38,44,76,57,53,0,63,69,58,48,39,61,43
V8,36,38,36,51,44,42,63,0,59,43,47,31,50,43
V9,38,38,42,51,49,49,69,59,0,56,57,47,63,66
V10,38,39,35,59,53,53,58,43,56,0,42,43,63,54
V11,30,30,28,50,38,36,48,47,57,42,0,30,46,38
V12,27,29,20,32,37,37,39,31,47,43,30,0,45,39
V13,37,45,32,52,58,46,61,50,63,63,46,45,0,50
V14,34,36,32,39,39,41,43,43,66,54,38,39,50,0
