source,target,weight
P,R,1
R,W,1
R,LOB,1
B,YV,1
B,LG,1
LOB,O,1
O,P,1
P,YV,1
P,V,1
P,R,1
R,YV,1
R,V,1
R,LG,1
B,YV,1
B,V,1
YV,V,1
DG,W,1
DG,YV,1
DG,V,1
O,R,1
O,YV,1
R,YV,1
V,P,1
V,DG,1
P,DG,1
B,LOB,1
B,W,1
LOB,W,1
W,LG,1
LOB,YV,1
LOB,R,1
YV,R,1
YV,W,1
O,P,1
O,V,1
P,V,1
LG,B,1
W,V,1
W,P,1
LOB,B,1
LOB,R,1
R,LG,1
W,V,1
W,DG,1
DG,LOB,1
LOB,P,1
DG,P,1
O,YV,1
O,LG,1
O,B,1
B,YV,1
B,LG,1
B,R,1
YV,O,1
LG,W,1
LG,P,1
P,W,1
LG,DG,1
DG,V,1
DG,R,1
V,LOB,1
V,R,1
R,B,1
O,R,1
O,B,1
O,YV,1
YV,R,1
YV,B,1
DG,W,1
DG,V,1
DG,P,1
V,P,1
V,LOB,1
LOB,P,1
B,O,1
YV,W,1
YV,DG,1
YV,V,1
DG,W,1
DG,V,1
DG,LOB,1
V,P,1
V,LOB,1
V,O,1
V,W,1
V,LOB,1
V,B,1
B,W,1
B,LOB,1
B,P,1
B,YV,1
YV,W,1
YV,P,1
P,DG,1
V,O,1
V,B,1
B,O,1
B,YV,1
B,LOB,1
B,DG,1
LOB,O,1
LOB,DG,1
LOB,W,1
YV,DG,1
YV,P,1
DG,P,1
B,YV,1
B,LOB,1
YV,LOB,1
DG,O,1
DG,P,1
V,P,1
V,R,1
R,O,1
R,B,1
R,LOB,1
O,B,1
LOB,B,1
P,LG,1
P,YV,1
YV,DG,1
DG,V,1
DG,W,1
V,W,1
W,YV,1
W,B,1
W,DG,1
B,DG,1
B,V,1
B,LOB,1
V,P,1
V,LOB,1
P,O,1
P,LG,1
LG,R,1
W,R,1
W,YV,1
W,V,1
LOB,B,1
LOB,O,1
LOB,O,1
LOB,R,1
LOB,LG,1
LOB,YV,1
LG,YV,1
R,O,1
R,B,1
P,O,1
P,LOB,1
P,YV,1
P,LG,1
P,R,1
P,B,1
W,O,1
W,LOB,1
W,YV,1
W,LG,1
W,R,1
W,B,1
LOB,W,1
LOB,B,1
LG,B,1
LG,V,1
O,V,1
O,R,1
O,YV,1
YV,P,1
LOB,LG,1
LOB,V,1
LG,V,1
P,O,1
P,W,1
P,YV,1
W,YV,1
W,B,1
R,LG,1
R,B,1
B,V,1
V,LOB,1
V,P,1
V,YV,1
V,O,1
V,W,1
B,LOB,1
B,P,1
B,YV,1
B,O,1
B,W,1
R,LOB,1
R,P,1
R,YV,1
R,O,1
R,W,1
LOB,P,1
LOB,YV,1
LOB,O,1
LOB,W,1
P,YV,1
P,O,1
P,W,1
YV,O,1
YV,W,1
O,W,1
O,YV,1
O,W,1
O,LOB,1
W,YV,1
YV,LG,1
YV,B,1
YV,V,1
YV,P,1
YV,R,1
O,LG,1
O,B,1
O,V,1
O,P,1
O,R,1
LOB,LG,1
LOB,B,1
LOB,V,1
LOB,P,1
LOB,R,1
LG,B,1
LG,V,1
LG,P,1
LG,R,1
B,V,1
B,P,1
B,R,1
V,P,1
V,R,1
P,R,1
V,LOB,1
V,P,1
V,R,1
V,B,1
V,W,1
V,O,1
LOB,YV,1
LOB,P,1
LOB,R,1
LOB,W,1
LOB,O,1
YV,LG,1
YV,P,1
YV,R,1
YV,W,1
YV,O,1
LG,P,1
LG,R,1
LG,W,1
LG,O,1
P,R,1
P,B,1
P,W,1
P,O,1
R,B,1
R,W,1
R,O,1
B,W,1
B,O,1
W,O,1
P,W,1
B,LG,1
B,V,1
V,YV,1
V,R,1
R,W,1
W,O,1
O,YV,1
R,W,1
W,V,1
V,YV,1
YV,O,1
YV,B,1
O,B,1
O,P,1
P,B,1
P,LOB,1
LOB,O,1
LOB,W,1
W,O,1
W,YV,1
YV,R,1
R,V,1
W,B,1
W,YV,1
YV,P,1
YV,O,1
LOB,O,1
LOB,P,1
O,P,1
O,R,1
R,V,1
O,V,1
O,W,1
W,V,1
W,YV,1
R,YV,1
R,LOB,1
R,P,1
LOB,YV,1
LOB,P,1
B,W,1
B,O,1
O,V,1
P,V,1
P,LOB,1
O,LOB,1
O,B,1
O,P,1
B,LOB,1
B,P,1
B,W,1
B,V,1
W,LOB,1
W,V,1
W,YV,1
V,P,1
V,YV,1
YV,B,1
YV,O,1
O,B,1
O,V,1
O,LOB,1
V,B,1
V,LOB,1
V,W,1
W,LOB,1
W,P,1
YV,O,1
YV,LOB,1
YV,V,1
V,LOB,1
V,P,1
P,W,1
DG,V,1
DG,LG,1
LG,V,1
R,B,1
R,LOB,1
R,O,1
LOB,B,1
LOB,O,1
W,YV,1
DG,LOB,1
DG,B,1
DG,P,1
LOB,B,1
P,R,1
P,O,1
P,V,1
O,R,1
O,V,1
V,LG,1
DG,R,1
DG,P,1
B,V,1
B,LG,1
B,W,1
B,O,1
B,LOB,1
YV,V,1
YV,LG,1
YV,W,1
YV,O,1
YV,LOB,1
V,LG,1
V,W,1
V,O,1
V,LOB,1
LG,W,1
LG,O,1
LG,LOB,1
W,O,1
W,LOB,1
O,LOB,1
DG,YV,1
DG,V,1
DG,W,1
P,W,1
P,R,1
LG,R,1
LG,B,1
B,W,1
V,P,1
V,R,1
P,R,1
LG,W,1
LG,DG,1
LG,O,1
LG,YV,1
DG,W,1
DG,O,1
YV,O,1
YV,LOB,1
YV,B,1
O,LOB,1
R,W,1
R,O,1
O,W,1
B,LOB,1
B,LG,1
DG,P,1
DG,LG,1
DG,YV,1
V,P,1
LG,W,1
LG,B,1
B,W,1
LOB,DG,1
LOB,V,1
LOB,YV,1
LOB,P,1
LOB,O,1
V,DG,1
V,YV,1
P,YV,1
YV,W,1
O,B,1
O,P,1
DG,P,1
DG,V,1
LG,R,1
LG,LOB,1
R,LOB,1
LG,DG,1
LG,LOB,1
DG,V,1
DG,LOB,1
LOB,O,1
R,W,1
B,YV,1
P,LG,1
P,W,1
P,YV,1
W,LG,1
W,YV,1
YV,LG,1
B,LOB,1
B,R,1
B,O,1
B,V,1
R,LOB,1
R,O,1
O,V,1
B,V,1
V,LG,1
LG,DG,1
LG,W,1
DG,W,1
W,O,1
W,LOB,1
LOB,O,1
LOB,YV,1
LOB,R,1
O,P,1
P,R,1
O,DG,1
O,R,1
YV,R,1
YV,W,1
W,LOB,1
YV,O,1
YV,B,1
W,R,1
W,LOB,1
W,DG,1
DG,R,1
DG,LOB,1
R,LOB,1
LOB,W,1
LOB,R,1
LOB,YV,1
R,W,1
R,YV,1
DG,B,1
R,DG,1
R,LOB,1
O,LOB,1
O,YV,1
YV,W,1
LOB,B,1
LOB,DG,1
LOB,R,1
DG,B,1
DG,R,1
R,W,1
O,W,1
O,YV,1
DG,R,1
DG,B,1
B,R,1
B,YV,1
B,O,1
B,LOB,1
O,YV,1
O,LOB,1
O,W,1
LOB,W,1
LOB,DG,1
O,LOB,1
O,R,1
DG,R,1
DG,B,1
B,W,1
V,YV,1
V,P,1
P,YV,1
P,LG,1
LG,B,1
LG,R,1
B,LOBB,1
LOBB,O,1
O,W,1
W,YV,1
O,P,1
O,V,1
O,B,1
O,LOBB,1
V,P,1
V,R,1
LOBB,B,1
LOBB,W,1
LOBB,YV,1
YV,W,1
YV,LG,1
YV,B,1
B,LG,1
B,O,1
O,W,1
O,YV,1
O,V,1
O,R,1
O,LOBB,1
P,W,1
P,YV,1
P,V,1
P,R,1
P,LOBB,1
LG,W,1
LG,YV,1
LG,V,1
LG,R,1
LG,LOBB,1
W,YV,1
W,V,1
W,R,1
W,LOBB,1
YV,V,1
YV,R,1
YV,LOBB,1
V,R,1
V,LOBB,1
R,LOBB,1
P,R,1
YV,LG,1
YV,O,1
B,O,1
B,V,1
B,LOBB,1
V,O,1
YV,W,1
O,LOBB,1
O,P,1
O,B,1
O,V,1
P,LOBB,1
P,V,1
V,B,1
B,R,1
V,P,1
O,W,1
LG,YV,1
LG,LOBB,1
LOBB,YV,1
O,W,1
O,LG,1
W,LG,1
V,P,1
V,YV,1
V,B,1
YV,B,1
YV,LOBB,1
B,LOBB,1
LOBB,YV,1
LOBB,O,1
V,O,1
V,W,1
LOBB,V,1
V,B,1
V,W,1
B,LG,1
B,O,1
W,O,1
W,YV,1
V,P,1
V,O,1
O,P,1
O,B,1
LG,B,1
LG,YV,1
LG,LOBB,1
LG,W,1
W,LOBB,1
LOBB,YV,1
YV,B,1
W,LG,1
W,O,1
LG,P,1
O,P,1
P,V,1
LG,V,1
V,LOBB,1
LG,LOBB,1
LG,O,1
O,V,1
O,B,1
V,B,1
LOBB,V,1
LOBB,LG,1
V,LG,1
B,W,1
V,B,1
V,LG,1
LG,B,1
LG,O,1
B,O,1
B,V,1
B,LG,1
LOBB,W,1
O,B,1
O,LG,1
O,V,1
LG,B,1
LG,V,1
LG,W,1
LG,LOBB,1
W,V,1
W,LOBB,1
LOBB,LG,1
LG,W,1
W,V,1
V,O,1
O,B,1
B,LOBB,1
O,LG,1
LG,W,1
LG,B,1
O,B,1
O,DG,1
O,P,1
DG,B,1
DG,P,1
DG,LG,1
LG,P,1
LG,LOB,1
LOB,R,1
LOB,W,1
R,W,1
R,V,1
R,YV,1
V,W,1
V,YV,1
LOB,LG,1
LOB,B,1
LOB,P,1
LOB,DG,1
B,LG,1
B,DG,1
B,V,1
V,YV,1
DG,V,1
DG,YV,1
DG,P,1
DG,R,1
R,P,1
R,W,1
R,O,1
W,P,1
W,O,1
V,YV,1
V,DG,1
V,B,1
V,R,1
DG,B,1
DG,YV,1
DG,LG,1
P,R,1
P,B,1
P,W,1
O,B,1
O,LG,1
O,P,1
O,W,1
O,LOB,1
LOB,W,1
B,R,1
B,LG,1
W,LOB,1
W,LG,1
O,LG,1
O,V,1
DG,B,1
DG,R,1
R,LG,1
R,V,1
R,W,1
W,V,1
W,B,1
W,LOB,1
W,O,1
B,V,1
B,LOB,1
LOB,O,1
LOB,YV,1
O,DG,1
O,YV,1
LOB,O,1
LOB,W,1
W,R,1
W,DG,1
YV,DG,1
YV,LG,1
V,B,1
W,B,1
W,O,1
B,O,1
LOB,W,1
LOB,V,1
R,V,1
R,DG,1
R,DG,1
R,YV,1
YV,V,1
YV,W,1
LOB,B,1
LOB,V,1
W,O,1
LG,O,1
YV,DG,1
YV,LOB,1
LOB,V,1
LOB,O,1
LOB,R,1
V,O,1
V,R,1
O,R,1
O,W,1
W,R,1
W,LG,1
W,B,1
LG,B,1
DG,R,1
DG,YV,1
YV,R,1
YV,B,1
R,B,1
YV,V,1
V,LG,1
V,O,1
O,W,1
LG,LOB,1
O,LOB,1
W,LOB,1
LG,O,1
DG,LOB,1
DG,B,1
B,LOB,1
B,R,1
B,W,1
R,LOB,1
R,W,1
O,W,1
B,LOB,1
V,DG,1
DG,LG,1
DG,R,1
R,LG,1
DG,V,1
DG,W,1
W,V,1
W,LG,1
O,DG,1
O,B,1
W,V,1
W,LG,1
LG,V,1
W,DG,1
LG,DG,1
DG,R,1
DG,O,1
R,O,1
V,R,1
DG,LG,1
DG,W,1
W,LG,1
W,O,1
DG,O,1
DG,V,1
V,W,1
V,R,1
LG,W,1
LG,R,1
W,R,1
O,V,1
O,LG,1
O,W,1
O,DG,1
LG,V,1
LG,W,1
W,DG,1
V,R,1
V,LG,1
LG,R,1
LG,W,1
LG,O,1
W,R,1
W,O,1
W,DG,1
O,R,1
O,DG,1
DG,LG,1
DG,O,1
W,O,1
W,V,1
V,O,1
LOB,LG,1
LOB,YV,1
LOB,P,1
LOB,B,1
YV,LG,1
YV,P,1
B,P,1
B,DG,1
DG,P,1
DG,W,1
W,V,1
V,R,1
YV,LOB,1
YV,R,1
YV,LG,1
YV,V,1
R,LOB,1
R,LG,1
V,LG,1
V,O,1
V,DG,1
DG,O,1
DG,B,1
B,W,1
LG,O,1
LG,LOB,1
LG,W,1
LG,YV,1
W,LOB,1
W,YV,1
YV,O,1
YV,DG,1
YV,V,1
YV,R,1
V,DG,1
V,R,1
V,B,1
R,B,1
YV,P,1
YV,R,1
B,LOB,1
B,DG,1
DG,LG,1
DG,W,1
R,DG,1
R,P,1
R,LOB,1
LOB,P,1
LOB,W,1
LG,V,1
YV,O,1
YV,B,1
LOB,B,1
LOB,W,1
DG,W,1
DG,YV,1
DG,LG,1
DG,R,1
DG,O,1
W,LG,1
W,R,1
W,O,1
LG,R,1
LG,O,1
R,O,1
DG,O,1
DG,B,1
B,O,1
B,LOB,1
B,LG,1
LOB,LG,1
R,V,1
R,YV,1
R,W,1
YV,W,1
YV,V,1
R,DG,1
R,LOB,1
LOB,DG,1
LOB,O,1
LOB,B,1
YV,O,1
YV,B,1
YV,LG,1
LG,W,1
LG,V,1
O,B,1
DG,V,1
DG,B,1
DG,O,1
DG,W,1
LOB,V,1
LOB,B,1
LOB,O,1
LOB,W,1
YV,V,1
YV,B,1
YV,O,1
YV,W,1
V,B,1
V,O,1
V,W,1
B,O,1
B,W,1
O,W,1
LOB,W,1
LOB,O,1
LOB,V,1
LOB,DG,1
B,YV,1
B,W,1
B,O,1
B,V,1
B,DG,1
YV,W,1
YV,O,1
YV,V,1
YV,DG,1
W,O,1
W,V,1
W,DG,1
O,V,1
O,DG,1
V,DG,1
LOB,V,1
LOB,O,1
O,V,1
O,YV,1
O,B,1
YV,B,1
B,W,1
W,DG,1
DG,V,1
DG,O,1
O,V,1
O,YV,1
V,LG,1
W,YV,1
W,DG,1
W,B,1
DG,B,1
DG,V,1
O,V,1
O,LOB,1
YV,O,1
YV,DG,1
DG,LOB,1
DG,W,1
LOB,W,1
B,DG,1
B,LOB,1
B,O,1
LOB,O,1
LOB,W,1
W,O,1
W,YV,1
O,YV,1
YV,O,1
YV,LOB,1
YV,DG,1
LOB,O,1
LOB,DG,1
LOB,W,1
W,DG,1
W,B,1
DG,YV,1
DG,B,1
DG,LOB,1
B,YV,1
B,LOB,1
W,LOB,1
W,B,1
W,YV,1
YV,LOB,1
YV,DG,1
LOB,DG,1
LOB,YV,1
YV,DG,1
YV,B,1
B,W,1
B,R,1
B,YV,1
YV,O,1
LOB,W,1
LOB,V,1
LOB,DG,1
V,DG,1
V,P,1
V,W,1
W,B,1
B,V,1
R,O,1
R,DG,1
R,LOB,1
R,YV,1
DG,O,1
DG,LOB,1
P,YV,1
P,LOB,1
YV,LOB,1
LOB,V,1
P,O,1
P,LG,1
O,LG,1
R,W,1
R,YV,1
R,DG,1
R,B,1
W,YV,1
W,DG,1
W,B,1
YV,DG,1
YV,B,1
DG,B,1
W,LOB,1
DG,B,1
O,YV,1
O,LG,1
V,P,1
LG,P,1
R,LOB,1
R,YV,1
R,B,1
LOB,O,1
LOB,DG,1
LOB,V,1
LOB,W,1
B,O,1
B,DG,1
B,V,1
B,W,1
R,O,1
R,DG,1
R,V,1
R,W,1
P,W,1
P,LG,1
YV,O,1
YV,R,1
B,R,1
B,LOB,1
LOB,DG,1
P,LG,1
B,W,1
B,LOB,1
LOB,W,1
LOB,O,1
LOB,DG,1
LOB,YV,1
W,O,1
W,DG,1
W,YV,1
O,DG,1
O,YV,1
DG,YV,1
P,YV,1
P,O,1
P,B,1
O,YV,1
O,B,1
V,DG,1
V,LG,1
DG,LG,1
V,LOB,1
LOB,W,1
O,B,1
O,LG,1
O,P,1
LG,P,1
DG,YV,1
DG,LOB,1
LOB,YV,1
LOB,V,1
DG,O,1
LOB,LG,1
LOB,B,1
B,LG,1
LG,R,1
LG,P,1
B,R,1
B,P,1
YV,R,1
YV,P,1
R,P,1
W,P,1
LG,LOB,1
LG,DG,1
LOB,DG,1
LOB,O,1
LOB,B,1
B,DG,1
B,O,1
B,R,1
B,YV,1
R,YV,1
R,V,1
YV,V,1
LG,YV,1
YV,B,1
B,O,1
O,P,1
O,W,1
W,P,1
W,DG,1
DG,LOB,1
DG,V,1
LOB,V,1
LOB,LG,1
LOB,P,1
P,LG,1
P,R,1
P,YV,1
R,DG,1
DG,YV,1
DG,V,1
DG,W,1
V,W,1
V,YV,1
W,O,1
LOB,W,1
LOB,P,1
W,P,1
LOB,YV,1
LOB,DG,1
DG,YV,1
DG,B,1
B,R,1
B,LG,1
B,O,1
LG,B,1
LG,W,1
W,P,1
W,YV,1
YV,LOB,1
R,P,1
R,DG,1
DG,O,1
LOB,R,1
DG,W,1
DG,YV,1
DG,B,1
YV,W,1
YV,B,1
O,B,1
O,LG,1
LG,P,1
LG,LOB,1
LG,R,1
LG,DG,1
LOB,YV,1
LOB,W,1
YV,W,1
YV,R,1
R,O,1
R,B,1
O,DG,1
O,P,1
O,B,1
P,DG,1
P,B,1
B,LG,1
B,LOB,1
B,O,1
B,P,1
P,O,1
P,LOB,1
O,YV,1
O,DG,1
DG,YV,1
DG,R,1
R,W,1
LOB,DG,1
LOB,B,1
DG,B,1
DG,P,1
DG,LG,1
DG,O,1
P,B,1
P,LG,1
LG,O,1
LG,YV,1
P,R,1
YV,DG,1
LG,W,1
LG,B,1
LG,O,1
LG,V,1
LG,LOB,1
W,B,1
W,O,1
W,V,1
W,LOB,1
B,O,1
B,V,1
B,LOB,1
O,V,1
O,LOB,1
V,LOB,1
R,YV,1
LOB,W,1
LOB,DG,1
LOB,P,1
LOB,B,1
W,DG,1
P,B,1
P,V,1
P,O,1
V,B,1
V,O,1
LOB,O,1
LOB,YV,1
LOB,R,1
R,O,1
R,YV,1
R,P,1
R,B,1
B,P,1
B,YV,1
B,V,1
B,W,1
V,P,1
V,W,1
W,YV,1
P,DG,1
P,V,1
P,R,1
O,DG,1
O,R,1
O,LOB,1
DG,V,1
LOB,B,1
LOB,YV,1
B,R,1
LOB,P,1
P,LG,1
LG,DG,1
DG,R,1
LOB,R,1
V,O,1
V,B,1
V,W,1
W,O,1
W,B,1
W,P,1
R,W,1
R,P,1
R,LG,1
LG,B,1
LG,V,1
B,LOB,1
B,V,1
V,DG,1
O,YV,1
V,R,1
B,V,1
B,R,1
B,LOB,1
P,LOB,1
P,O,1
P,W,1
W,O,1
W,DG,1
W,LG,1
DG,O,1
DG,LG,1
DG,YV,1
LG,YV,1
O,B,1
O,DG,1
LOB,DG,1
LOB,P,1
V,YV,1
V,P,1
P,W,1
W,P,1
W,YV,1
W,V,1
W,DG,1
V,P,1
V,DG,1
V,R,1
DG,B,1
DG,R,1
B,R,1
R,LOB,1
R,O,1
LOB,O,1
W,B,1
W,YV,1
YV,V,1
YV,LG,1
LG,O,1
O,DG,1
DG,LOB,1
LOB,P,1
P,LOB,1
P,B,1
LOB,B,1
LOB,V,1
LOB,DG,1
DG,B,1
DG,V,1
DG,W,1
O,LG,1
YV,LG,1
V,LG,1
LG,B,1
B,O,1
B,P,1
O,P,1
O,LOB,1
P,DG,1
DG,YV,1
DG,LOB,1
DG,O,1
O,LOB,1
O,V,1
V,P,1
V,W,1
W,P,1
W,B,1
P,B,1
LOB,B,1
O,DG,1
O,W,1
W,V,1
W,P,1
V,P,1
O,W,1
O,B,1
V,P,1
V,LOB,1
LOB,DG,1
P,B,1
P,LOB,1
O,LOB,1
O,DG,1
O,V,1
DG,LOB,1
DG,V,1
LOB,DG,1
LOB,P,1
LOB,V,1
P,V,1
DG,P,1
DG,LOB,1
DG,V,1
LOB,V,1
P,V,1
LG,YVV,1
LG,B,1
B,YVV,1
W,O,1
W,P,1
P,LOB,1
P,R,1
LOB,R,1
R,LG,1
R,B,1
B,W,1
B,DG,1
B,O,1
DG,W,1
DG,O,1
DGO,P,1
DGO,V,1
V,P,1
V,YVV,1
P,YVV,1
P,DG,1
P,O,1
R,B,1
R,W,1
R,LOB,1
W,B,1
W,LOB,1
W,DGO,1
LOB,DGO,1
W,R,1
LG,P,1
LG,O,1
LG,B,1
O,B,1
V,DGO,1
V,LOB,1
LG,YVV,1
DGO,R,1
DGO,B,1
DGO,P,1
B,R,1
B,P,1
B,O,1
B,V,1
V,O,1
V,P,1
V,DG,1
DG,W,1
P,DG,1
P,DGO,1
DG,DGO,1
W,B,1
W,YVV,1
V,YVV,1
V,O,1
V,LOB,1
LOB,O,1
LOB,LG,1
LG,R,1
V,B,1
V,P,1
P,W,1
W,YVV,1
YVV,O,1
YVV,LG,1
LG,R,1
LG,LOB,1
LG,DG,1
R,LOB,1
R,DG,1
LOB,DG,1
W,DGO,1
W,B,1
W,V,1
DGO,B,1
DGO,V,1
B,V,1
R,DG,1
R,P,1
R,LOB,1
O,LOB,1
O,LG,1
R,DG,1
R,B,1
R,LOB,1
